neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['worse', 'equal', 'better']",180.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,6204486
fMRI-BOLD,task-based,mixed,cognitive,non-painful,"['low flavanol', 'high flavanol']",1440.0,3T,gradient echo,3D,1,FSL,"['motion correction', 'slice timing correction']",GLM,,,,,,4534492
fMRI-BOLD,task-based,block,cognitive,neutral,"['MoMA', 'Adult Education Center']",193.0,3T,EPI,EPI,3,SPM8,"['motion correction', 'realignment', 'spatial normalization', 'spatial smoothing']",mixed categorical and parametric regression,,,,,,4602085
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['3 odd', '3 even']",360.0,1.5T,EPI,2D-EPI,3x3,SPM8,"['motion correction', 'slice timing correction', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,5983530
MRI,resting-state,,,,,,3T,gradient echo,volumetric magnetization prepared rapid gradient echo,1.0,SPM8,"['motion correction', 'bias-correction', 'tissue classification', 'spatial normalization', 'smoothing']",GLM,,,,,,5367861
,,,,,,,,,,,,,,,,,,,11078359
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['valuable', 'devalued']",3600.0,3T,multi-echo,EPI,3,FSL,"['motion correction', 'brain extraction', 'normalisation to MNI space', 'smoothing']",GLM,,,,,,8652367
fMRI,resting-state,,,,,420.0,3T,gradient echo,EPI,3x3x3,DPABI,"['motion correction', 'slice timing correction', 'spatial normalization', 'spatial smoothing', 'detrending', 'temporal bandpass filtering']",GLM,chronic,neck,,,,9277509
fMRI,task-based,mixed,cognitive,non-painful,"['living', 'non-living', 'pseudo']",,3T,gradient echo,EPI,3,AFNI,"['motion correction', 'smoothing', 'normalization']",GLM,,,,,,3696724
EEG,,,cognitive,non-painful,"['living', 'non-living', 'pseudo']",,,,,,,['artifact rejection'],,,,,,,3696724
fMRI,resting-state,,,,,,3T,EPI,EPI,3.75 3.75 4,SPM12,"['slice timing correction', 'head movement correction', 'spatial normalization']",t-test,,,,,,7511868
PET,,,cognitive,,,,,,,,SMP2,"['motion correction', 'spatial normalization']",GLM,,,,,,2408938
fMRI-BOLD,task-based,block,cognitive,,"['0-back', '1-back', '2-back']",264.0,1.5T,gradient echo,echo planar imaging (EPI),6,AFNI,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,8413196
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['SD 5', 'SD 10', 'SD 15']",,3T,,,,SPM,['motion correction'],GLM,,,,,,4893165
fMRI-BOLD,resting-state,,,,,3000.0,3T,gradient echo,echo planar imaging (EPI),3.5,SPM8,"['motion correction', 'coregistration of anatomical image to the mean functional image', 'segmentation of the anatomical image into GM, WM, and cerebrospinal fluid (CSF)', 'normalization of anatomical and functional images to the standard Montreal Neurologic Institute (MNI) 152 brain template', 'smoothing with an 8 mm isotropic full-width at half maximum Gaussian Kernel']",GLM,chronic,,,,,5052273
Diffusion MRI,,,,,,,,,,,SPM,,,,,,,,6997620
MRI,,,,,,,3T,spin echo,EPI,2 2 2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,9599620
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['HF', 'LF']",900.0,3T,gradient echo,3D,0.98,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5831411
fMRI-BOLD,task-based,block,cognitive,non-painful,"['food', 'non-food']",144.0,1.5T,gradient echo,echo planar imaging (EPI),1.5 mm,FSL,"['slice time correction', 'motion correction', 'spatial smoothing']",GLM,,,,,,3605420
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,"MATLAB2010a, DPARSFA","['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,4689284
fMRI-BOLD,task-based,block,cognitive,non-painful,"['clip', 'rearranged clip', 'fixation cross']",480.0,3T,EPI,EPI,3,SPM5,"['motion correction', 'distortion correction', 'normalization', 'smoothing']",GLM,,,,,,2939655
fMRI,resting-state,,,,,445.0,,multislice echo planar imaging,EPI,3.4,"SPM8, FSL","['slice-time correction', 'realigned and resliced', 'optimized segmentation', 'normalization', 'smoothing']",ANCOVA,,,,,,5901935
MRI,,,,,,1020.0,3T,gradient echo,3D,1,SPM,"['motion correction', 'eddy current correction', 'skull stripping']",GLM,,,,,,4117506
MRI,,,,,,,3T,fast spoiled gradient echo,3D,1.5,SPM8,"['segmentation', 'affine registration', 'nonlinear deformation', 'smoothing']",GLM,,,,,,4510907
fMRI,task-based,mixed,cognitive,neutral,"['TASK', 'BASE']",172.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6006772
fMRI,task-based,mixed,cognitive,neutral,"['Natural', 'Focus on Health', 'Focus on Taste']",360.0,3T,gradient echo,EPI,3,SPM,"['slice-time correction', 'spatial realignment', 'normalization']",GLM,,,,,,5973829
fMRI,task-based,mixed,cognitive,neutral,"['Natural', 'Focus on Ethics', 'Focus on Partner']",360.0,3T,gradient echo,EPI,3,SPM,"['slice-time correction', 'spatial realignment', 'normalization']",GLM,,,,,,5973829
fMRI-BOLD,task-based,event-related,cognitive,,"['neutral', 'fearful']",350.0,3T,gradient echo,echo planar imaging (EPI),2.5,SPSS,,ANOVA,,,,,,8575058
fMRI-BOLD,task-based,block,cognitive,non-painful,"['perception', 'imagery']",630.0,3T,gradient echo,EPI,3 3 3,SPM8,"['realignment', 'normalization', 'smoothing']",GLM,,,,,,6387936
fMRI-BOLD,task-based,block,motor,painful,"['posture holding', 'rest']",800.0,3T,EPI,EPI,2.0,SPM12,"['motion correction', 'ICA-AROMA']",GLM,null,null,null,null,null,8688717
fMRI-BOLD,task-based,event-related,emotional,neutral,"['negative', 'neutral']",,3T,EPI,EPI,3x3x2.5,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4383593
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,3D,4.0,SPM,"['motion correction', 'slice timing correction']",GLM,null,null,null,null,null,7994689
fMRI,resting-state,,,,,480.0,3T,echo-planar imaging (EPI),EPI,3,DPABI,"['slice timing correction', 'realignment for head motion', 'spatial normalisation in Montreal Neurological Institute (MNI) space', 'spatial smoothing', 'linear trend removal', 'filtering (0.01-0.08 Hz)', 'nuisance signal regression']",GLM,,,,,,8355430
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['carry', 'non-carry']",600.0,1.5T,gradient echo,echo planar imaging (EPI),3.75,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3559478
Diffusion MRI,,,,,,,3T,Spin-Echo EPI,,2,,['distortion correction'],,,,,,,3559478
MRI,,,,,,303.0,3T,3D-MPRAGE,,1x1x1.2,SPM12,['motion correction'],analysis of covariance,,,,,,5891580
fMRI,task-based,mixed,cognitive,neutral,['neutral'],,,,,,AES-SDM,,random-effect model,,,,,,10074425
VBM,,,,,,,,,,,,,,,,,,,10074425
fMRI-BOLD,resting-state,,,,,,3T,echo-planar imaging,EPI,3,SPM5,"['slice-time correction', 'motion correction', 'spatial normalization', 'linear detrending', 'temporal bandpass filtering']",GLM,,,,,,3511796
fMRI-BOLD,resting-state,,,,,,3T,echo-planar imaging (EPI),,3,DPABI,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,9197452
,,,,,,,,,,,,,,,,,,,3776736
fMRI-BOLD,resting-state,,,,,418.0,3T,EPI,single-shot EPI,2.75,FSL,"['brain extraction', 'motion correction', 'automatic removal of motion artifacts using ICA-AROMA', 'spatial smoothing using a kernel size of 5mm full width at half maximum', 'high-pass temporal filter with a cutoff of 0.01Hz', 'registration to standard space using boundary-based registration']",GLM,chronic,,,,,10701079
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['HE', 'LE']",284.0,3T,2D-EPI,EPI,4 4 4,SPM8,"['realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,4179768
fMRI-BOLD,resting-state,,,,,325.0,3T,,echo planar imaging (EPI),1.80,Statistical Parametric Mapping 12,"['motion correction', 'slice timing correction', 'normalisation', 'smoothing']",GLM,,,,,,8773965
fMRI-BOLD,task-based,event-related,emotional,painful,"['negative', 'neutral']",36.0,3T,gradient echo,echo planar imaging (EPI),null,SPM12,['motion correction'],GLM,null,null,null,null,null,8417257
fMRI,task-based,mixed,cognitive,neutral,"['unfacilitated', 'short-term facilitated', 'long-term facilitated']",1200.0,4T,gradient echo,echo planar imaging (EPI),3.6,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,3296742
MRI,,,,,,,3T,turbo field echo,3D,1,SPM12,"['segmentation', 'diffeomorphic anatomical registration through exponentiated lie algebra (DARTEL)', 'smoothing with a Gaussian kernel']",general linear model,,,,,,7572341
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['reading aloud German sentences (L1)', 'reading aloud English sentences (L2)', 'reading German sentences with a fake English accent (L1Acc)']",1800.0,1.5T,Gradient Echo,echo planar imaging (EPI),3x3x4,SPM5,"['motion correction', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,3804907
MRI,resting-state,,,,,486.0,3T,gradient echo,echo planar imaging (EPI),1.5,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4581780
MRI,task-based,event-related,cognitive,neutral,"['painful', 'non-painful']",486.0,3T,gradient echo,echo planar imaging (EPI),1.5,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4581780
fMRI-BOLD,task-based,block,cognitive,non-painful,"['simple', 'complex']",192.0,3T,gradient echo,echo planar imaging (EPI),3.1,SPM5,"['realignment', 'normalization', 'spatial smoothing']",GLM,,,,,,3692444
fMRI-BOLD,resting-state,,,,,,3T,MPRAGE,resting-state,,SPM12,"['functional realignment and unwarping', 'slice-timing correction', 'outlier identification', 'direct segmentation and normalization']",GLM,,,,,,11065262
fMRI-BOLD,task-based,mixed,cognitive,non-painful,"['go', 'stop']",240.0,3T,spin echo,echo planar imaging (EPI),4,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,2950843
fMRI,task-based,event-related,cognitive,neutral,['neutral'],300.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5390710
MRI,,,,,,,,,,,ALE,,,,,,,,8028086
fMRI-BOLD,task-based,block,cognitive,neutral,"['valued', 'devalued', 'control']",,,,EPI,2,SPM,"['realignment', 'coregistration', 'segmentation', 'distortion correction', 'normalization', 'despiking', 'smoothing']",GLM,,,,,,7490837
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),4,SPM12,"['motion correction', 'slice timing correction']",GLM,null,null,null,null,null,7702236
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['angry-congruent', 'angry-incongruent', 'neutral-neutral']",,3T,,,,AFNI,,GLM,,,,,,9630440
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['self', 'other']",160.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,10742061
fMRI,task-based,block,motor,non-painful,"['breathing only', 'lip protrusion', 'tongue retraction']",30.0,3T,MPRAGE,EPI,2.4,FSL,"['motion correction', 'unwarping using a fieldmap']",GLM,,,,,,7817568
fMRI,resting-state,,,,,660.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,5853618
Diffusion MRI,,,,,,360.0,3T,single-shot,echo planar imaging (EPI),2.3,FSL,"['motion correction', 'non-brain tissue removal']",GLM,,,,,,5660893
fMRI-BOLD,task-based,block,cognitive,non-painful,"['words', 'non-words', 'rest']",216.0,3T,gradient echo,echo planar imaging (EPI),1.2x1.0x1.0,Brain Voyager QX 1.9,"['3-D motion correction', 'high pass filtering', 'correction for slice time acquisition', 'spatial smoothing']",GLM,,,,,,2805429
Diffusion MRI,,,,,,,,spin-echo,,,,,,,,,,,2805429
Diffusion MRI,,,,,,1500.0,1.5T,echoplanar imaging,,2.5,"ExploreDTI, FSL","['eddy current distortions correction', 'head motion correction']",TBSS,,,,,,4236070
fMRI-BOLD,task-based,block,cognitive,non-painful,"['BIO', 'SCR']",328.0,3T,,EPI,,EPrime 2.0,,GLM,,,,,,6001642
MEG,,,,,,3600.0,,,,,,['motion correction'],ANOVA,,,,,,4389832
fMRI-BOLD,task-based,block,pain,painful,"['MA', 'EA', 'TEAS', 'sensory control']",420.0,3T,gradient echo,echo planar imaging (EPI),1,SPM5,"['motion correction', 'slice timing correction', 'spatial normalization', 'spatial smoothing']",GLM,null,null,null,null,null,3696086
MRI,,,,,,500.0,1.5T,gradient echo,3D,0.9375,FreeSurfer,"['skull stripping', 'intensity normalization', 'automated topology correction']",GLM,,,,,,4252086
fMRI,task-based,event-related,cognitive,,"['n-back', 'Sternberg', 'delayed matching to sample']",,,,,,SPM,,,,,,,,6581736
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['pleasant', 'unpleasant']",1080.0,3T,gradient echo,echo planar imaging (EPI),3x3x3.5,E-prime Software,"['motion correction', 'slice timing correction']",GLM,,,,,,4796013
fMRI,task-based,mixed,emotional,neutral,"['acceptance', 'control']",,,,,,GingerALE 2.3.2,,ALE,,,,,,7943364
fMRI-BOLD,resting-state,,,,,510.0,3T,Echo Planar Imaging,EPI,3.75 3.75 4.4,SPM,"['slice timing correction', 'spatial realignment', 'normalization', 'regression of head motion parameters', 'band-pass filtering']",GLM,,,,,,6759465
fMRI-BOLD,resting-state,,,,,360.0,3T,gradient echo,3D,2x2x2,SPM8,"['realignment for motion correction', 'slice-time correction', 'artifact detection', 'spatial smoothing']",GLM,,,,,,4416052
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['cooperated', 'defected']",176.0,3T,gradient echo,echo planar imaging (EPI),3,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4975394
fMRI,task-based,event-related,cognitive,neutral,"['visual sustained attention', 'auditory sustained attention', 'selective attention', 'executive attention']",1080.0,3T,gradient echo,EPI,3.5,FSL,"['slice-time correction', 'motion correction', 'minimal filtering', 'spatial smoothing']",ICA,,,,,,6969078
fMRI,task-based,mixed,emotional,neutral,"['angryexpression', 'happyexpression', 'angrymosaic', 'happymosaic', 'corrugatorsuperciliiaction', 'zygomaticmajoraction', 'rest']",747.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['slice timing correction', 'motion correction']",GLM,,,,,,10171515
fMRI,task-based,mixed,cognitive,,"['AC', 'SOM']",,3T,gradient echo,EPI,3,BrainVoyager V21.4.5,"['slice scan-time correction', 'high-pass temporal filter', '3D motion correction', 'normalization to Talairach coordinates', 'spatial smoothing']",GLM,,,,,,8945989
fMRI-BOLD,task-based,block,cognitive,neutral,"['high-calorie food', 'low-calorie food', 'non-food-related household objects', 'fixation stimuli']",2400.0,3T,gradient echo,EPI,3,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,7758977
fMRI-BOLD,task-based,block,cognitive,neutral,"['valid', 'invalid']",480.0,3T,gradient echo,EPI,3x3,AFNI,"['slice-time correction', 'motion correction']",GLM,,,,,,2679199
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['synchronous', 'asynchronous']",1320.0,3T,EPI,EPI,3,SPM8,"['slice-time correction', 'motion correction']",GLM,,,,,,6037859
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['visual', 'auditory']",560.0,3T,gradient echo,EPI,3.75,SPM8,"['slice-time correction', 'realignment', 'normalization', 'smoothing', 'motion correction']",GLM,,,,,,4458688
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['semantically related', 'unrelated']",120.0,3T,gradient echo,echo planar imaging (EPI),4 mm,SPM8,"['motion correction', 'slice timing correction', 'despiking', 'normalization', 'smoothing']",GLM,,,,,,5557775
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['view', 'reappraise', 'suppress']",1921.0,4T,inverse spiral,3D,3.75,FSL,"['brain extraction for non-brain removal', 'motion correction using MCFLIRT', 'spatial smoothing using a Gaussian kernel of FWHM 5mm', 'high-pass filtering']",GLM,,,,,,3015134
fMRI,resting-state,,,,,1800.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'slice timing correction', 'spatial normalization']",GLM,,,,,,7533550
MRI,,,,,,,1.5T,gradient echo,3D,1.1,SPM8,"['unified segmentation', 'normalization into the Montreal Neurological Institute (MNI) space', 'modulation', 'spatial smoothing with an isotropic Gaussian kernel of 10mm full-width at half maximum']",ANOVA,chronic,head,,,,4218933
MRI,,,,,,,3T,MPRAGE,3D,1x1x1,SPM12,"['normalization', 'registration']",t-test,,,,,,9618656
MRI,,,,,,,3T,MPRAGE,3D,1x1x1,SPM12,"['normalization', 'registration']",t-test,,,,,,9618656
MRI,,,,,,,,MPRAGE,3D,0.97x0.97x1,SPM12,"['normalization', 'registration']",t-test,,,,,,9618656
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['pleasant', 'unpleasant']",1080.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,6865810
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['pleasant', 'unpleasant']",1080.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,6865810
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction', 'temporal bandpass filter']",GLM,,,,,,9082679
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM12,"['slice timing correction', 'motion correction', 'spatial normalization']",GLM,,,,,,8193040
fMRI-BOLD,task-based,mixed,cognitive,non-painful,['working memory load'],,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM12,"['slice timing correction', 'motion correction', 'spatial normalization']",GLM,,,,,,8193040
MRI,,,,,,,3T,MPRAGE,3D,1.1,SPM12,"['normalization to MNI space', 'smoothing with a 6-mm FWHM Gaussian kernel']",multiple regression,,,,,,10545509
fMRI,task-based,mixed,cognitive,neutral,"['gain', 'loss', 'neutral']",,,,,,SDM version 5.15,,random-effects generalized linear model,,,,,,7955844
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['gambling', 'passing']",996.0,1.5T,EPI,EPI,3.125,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,7725750
fMRI,task-based,mixed,cognitive,neutral,['neutral'],,3T,gradient echo,EPI,1.0,SPM,['motion correction'],GLM,,,,,,6349380
Diffusion MRI,,,,,,,3T,spin echo,EPI,2.0,DSI Studio,['motion correction'],,,,,,,6349380
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,"SPM, DPABI","['slice timing correction', 'motion correction', 'normalization', 'smoothing']",GLM,,,,,,8693354
fMRI-BOLD,resting-state,,,,,500.0,3T,gradient echo,echo planar imaging (EPI),3.4,SPM12,"['slice timing correction', 'realignment for head motion correction', 'co-registration of T1-weighted images to the mean functional image', 'segmentation of gray matter, white matter, and cerebrospinal fluid', 'nuisance regression using the Friston 24-parameter model', 'spatial normalization to a study-specific Diffeomorphic Anatomical Registration Through Exponentiated Lie Algebra (DARTEL) template', 'temporal band-pass filtering']",GLM,,,,,,10364845
